Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,18.490000,18.597500,18.437500,18.502501,15.955606,8376400
2010-04-05,18.547501,18.705000,18.405001,18.527500,15.977160,7081600
2010-04-06,18.385000,18.537500,18.375000,18.477501,15.934045,8428000
2010-04-07,18.492500,18.547501,18.325001,18.397499,15.865058,8851200
2010-04-08,18.365000,18.570000,18.264999,18.497499,15.951289,10410400
2010-04-09,18.545000,18.820000,18.412500,18.795000,16.207834,12502000
2010-04-12,18.822500,18.987499,18.799999,18.882500,16.283298,8867200
2010-04-13,18.857500,18.982500,18.687500,18.877501,16.278980,7025200
2010-04-14,18.902500,18.965000,18.750000,18.950001,16.341507,6804400
2010-04-15,18.892500,18.955000,18.742500,18.910000,16.307009,7014400
2010-04-16,18.897499,19.000000,18.745001,18.792500,16.205685,13739200
2010-04-19,18.737499,18.950001,18.562500,18.895000,16.294077,8790400
2010-04-20,19.004999,19.145000,18.975000,19.090000,16.462234,9584400
2010-04-21,19.100000,19.285000,19.042500,19.180000,16.539850,10800800
2010-04-22,19.072500,19.632500,19.052500,19.557501,16.865377,13848800
2010-04-23,19.455000,19.610001,19.325001,19.475000,16.794237,10151200
2010-04-26,19.477501,19.617500,19.445000,19.504999,16.820110,6050400
2010-04-27,19.417500,19.622499,19.152500,19.184999,16.544153,11016800
2010-04-28,19.235001,19.507500,19.035000,19.110001,16.479481,10812000
2010-04-29,19.275000,19.422501,19.180000,19.392500,16.723101,9083600
2010-04-30,19.362499,19.469999,18.972500,18.977501,16.365217,9869600
2010-05-03,19.002501,19.597500,18.977501,19.442499,16.766211,8428400
2010-05-04,19.504999,19.637501,19.275000,19.337500,16.675663,14530400
2010-05-05,19.217501,19.325001,18.674999,18.802500,16.214306,17310400
2010-05-06,18.637501,18.997499,16.747499,18.075001,15.586953,26330000
2010-05-07,17.837500,18.110001,17.445000,17.652500,15.222611,21502400
2010-05-10,18.472500,19.192499,18.434999,19.162500,16.524750,26477600
2010-05-11,18.950001,19.267500,18.940001,19.107500,16.477325,13755200
2010-05-12,19.177500,19.495001,19.002501,19.462500,16.783459,9956000
2010-05-13,19.412500,19.497499,18.837500,18.887501,16.287615,20976800
2010-05-14,18.657499,18.750000,18.295000,18.434999,15.897398,19014000
2010-05-17,18.432501,18.462500,18.007500,18.407499,15.873678,16944400
2010-05-18,18.540001,18.752501,18.174999,18.232500,15.722768,18855600
2010-05-19,18.135000,18.180000,17.750000,18.062500,15.576170,23478800
2010-05-20,17.632500,17.897499,17.392500,17.577499,15.157934,25056400
2010-05-21,17.285000,17.945000,17.035000,17.847500,15.390764,17064000
2010-05-24,17.792500,17.977501,17.677500,17.834999,15.379985,22684400
2010-05-25,17.522499,18.250000,17.317499,18.227501,15.718459,21164000
2010-05-26,18.379999,18.405001,17.980000,18.129999,15.634379,16727200
2010-05-27,18.320000,18.490000,18.190001,18.475000,15.931890,14743600
2010-05-28,18.405001,18.465000,17.990000,18.094999,15.604198,15556800
2010-06-01,17.860001,18.155001,17.674999,17.795000,15.345491,14684000
2010-06-02,17.827499,18.264999,17.827499,18.250000,15.737856,12660800
2010-06-03,18.299999,18.465000,18.235001,18.407499,15.932609,11356800
2010-06-04,18.090000,18.117500,17.540001,17.692499,15.313738,15403600
2010-06-07,17.635000,17.754999,17.370001,17.397499,15.058405,11056400
